CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
HCC1187_BREAST,HCC1187,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.40,-4.5,19.6,3.36,.18,-11,-16,-20","19.3,1.08,4.63,2.54,27.1,2.65,6.79,15.7",8,Constant,NA,8,-6.347360611,0.2086
HCC1395_BREAST,HCC1395,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","14.0,6.60,20.9,-12,6.30,-3.5,-29,-30","10.5,4.06,12.2,4.64,17.0,22.8,10.2,7.32",8,Sigmoid,0.57633698,8,-31.14931679,0.7086
HCC1569_BREAST,HCC1569,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","1.78,10.5,15.6,8.03,-2.6,-5.0,-17,-28","1.82,16.5,9.71,20.4,2.22,22.4,1.34,10.3",8,Sigmoid,1.820515752,8,-26.94419289,0.4023
HCC1806_BREAST,HCC1806,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","10.4,-3.9,9.65,-19,5.52,-6.8,-2.8,-64","21.9,6.37,1.16,7.29,15.3,14.2,1.46,6.54",8,Sigmoid,8.028769914,7.206761837,-63.56811523,1.0001
HCC1954_BREAST,HCC1954,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","4.81,7.71,2.96,-2.9,4.52,-8.1,-20,-54",".95,8.09,12.2,2.58,24.0,3.26,4.91,8.77",8,Sigmoid,8.922730124,7.284452438,-53.7389679,0.8125
HCC70_BREAST,HCC70,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","11.1,13.0,3.91,-5.7,-.85,1.28,-14,-55","10.3,10.4,14.9,16.1,4.35,12.6,11.3,19.4",8,Linear,NA,8,-41.52391434,0.6154
HDQP1_BREAST,HDQ-P1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-12,8.40,6.25,-6.0,-17,-11,-6.5,-70","40.5,14.1,13.1,19.2,19.3,2.42,8.72,.36",8,Sigmoid,8.550541503,7.002896786,-70.03394318,1.0021
HMC18_BREAST,HMC-1-8,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.5,1.27,-2.9,1.56,-10,-16,-39,-75","4.21,.41,.020,.12,4.00,2.10,3.48,3.57",8,Sigmoid,8.089087838,3.805550575,-75.28327942,1.0301
HS578T_BREAST,Hs 578T,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","1.51,3.74,-3.6,-4.5,-2.0,-8.8,-3.7,-23","2.64,2.93,6.37,.60,.53,9.66,2.68,4.50",8,Sigmoid,8.447404923,8,-22.71940041,0.2538
HS739T_BREAST,Hs 739.T,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","19.3,3.26,42.2,13.9,11.4,-24,-2.4,-59","6.04,9.31,13.8,10.5,6.96,9.97,9.85,3.78",8,Sigmoid,9.354552473,7.017650604,-55.20661163,0.6611
