"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"match_id"
"OCUBM_BREAST"	"OCUB-M"	NA	"cosmic_clp"	"breast"	"OCUBM"
"OCUBM_BREAST"	"OCUB-M"	"909256"	"gdsc"	"breast"	"OCUBM"
"SKBR3_BREAST"	"SKBR3_BREAST"	"SK-BR-3"	"CCLE"	"breast"	"SKBR3"
"SKBR3_BREAST"	"SK-BR-3"	NA	"eurofins"	"Breast"	"SKBR3"
"T47D_BREAST"	"T47D_BREAST"	"T-47D"	"CCLE"	"breast"	"T47D"
"T47D_BREAST"	"T47D"	NA	"cosmic_clp"	"breast"	"T47D"
"T47D_BREAST"	"T47D"	"905945"	"gdsc"	"breast"	"T47D"
"T47D_BREAST"	"T47D"	NA	"eurofins"	"Breast"	"T47D"
"UACC812_BREAST"	"UACC812_BREAST"	"UACC-812"	"CCLE"	"breast"	"UACC812"
"UACC812_BREAST"	"UACC-812"	NA	"cosmic_clp"	"breast"	"UACC812"
"UACC812_BREAST"	"UACC-812"	"910910"	"gdsc"	"breast"	"UACC812"
"UACC893_BREAST"	"UACC893_BREAST"	"UACC-893"	"CCLE"	"breast"	"UACC893"
"UACC893_BREAST"	"UACC-893"	NA	"cosmic_clp"	"breast"	"UACC893"
"UACC893_BREAST"	"UACC-893"	"909778"	"gdsc"	"breast"	"UACC893"
"YMB1_BREAST"	"YMB1_BREAST"	"YMB-1"	"CCLE"	"breast"	"YMB1"
"YMB1E_BREAST"	"YMB-1-E"	NA	"cosmic_clp"	"breast"	"YMB1E"
"ZR751_BREAST"	"ZR751_BREAST"	"ZR-75-1"	"CCLE"	"breast"	"ZR751"
"ZR751_BREAST"	"ZR-75-1"	NA	"eurofins"	"Breast"	"ZR751"
"ZR7530_BREAST"	"ZR7530_BREAST"	"ZR-75-30"	"CCLE"	"breast"	"ZR7530"
"ZR7530_BREAST"	"ZR-75-30"	NA	"cosmic_clp"	"breast"	"ZR7530"
"ZR7530_BREAST"	"ZR-75-30"	"909907"	"gdsc"	"breast"	"ZR7530"
