"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"hist_primary"	"hist_secondary"	"match_id"
"NCIH292_LUNG"	"NCI-H292"	NA	"cosmic_clp"	"lung"	"carcinoma"	"mucoepidermoid_carcinoma"	"NCIH292"
"NCIH292_LUNG"	"NCI-H292"	"753604"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH292"
"NCIH292_LUNG"	"NCI-H292"	NA	"eurofins"	"lung"	"carcinoma"	"mucoepidermoid_carcinoma"	"NCIH292"
"NCIH3122_LUNG"	"NCI-H3122"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH3122"
"NCIH322_LUNG"	"NCIH322_LUNG"	"NCI-H322"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH322"
"NCIH322M_LUNG"	"NCI-H322M"	NA	"cosmic_clp"	"lung"	"carcinoma"	"bronchioloalveolar_adenocarcinoma"	"NCIH322M"
"NCIH322M_LUNG"	"NCI-H322M"	"905967"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH322M"
"NCIH3255_LUNG"	"NCIH3255_LUNG"	"NCI-H3255"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH3255"
"NCIH345_LUNG"	"NCI-H345"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH345"
"NCIH345_LUNG"	"NCI-H345"	"688021"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH345"
"NCIH358_LUNG"	"NCIH358_LUNG"	"NCI-H358"	"CCLE"	"lung"	"carcinoma"	"bronchioloalveolar_adenocarcinoma"	"NCIH358"
"NCIH358_LUNG"	"NCI-H358"	NA	"cosmic_clp"	"lung"	"carcinoma"	"bronchioloalveolar_adenocarcinoma"	"NCIH358"
"NCIH358_LUNG"	"NCI-H358"	"908465"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH358"
"NCIH378_LUNG"	"NCI-H378"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH378"
"NCIH378_LUNG"	"NCI-H378"	"688022"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH378"
"NCIH441_LUNG"	"NCIH441_LUNG"	"NCI-H441"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH441"
"NCIH441_LUNG"	"NCI-H441"	NA	"cosmic_clp"	"lung"	"carcinoma"	"bronchioloalveolar_adenocarcinoma"	"NCIH441"
"NCIH441_LUNG"	"NCI-H441"	"908460"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH441"
"NCIH441_LUNG"	"NCIH441"	NA	"eurofins"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH441"
"NCIH446_LUNG"	"NCIH446_LUNG"	"NCI-H446"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH446"
"NCIH446_LUNG"	"NCI-H446"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH446"
"NCIH446_LUNG"	"NCI-H446"	"688023"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH446"
"NCIH446_LUNG"	"NCIH446"	NA	"eurofins"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH446"
"NCIH460_LUNG"	"NCIH460_LUNG"	"NCI-H460"	"CCLE"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH460"
"NCIH460_LUNG"	"NCI-H460"	NA	"cosmic_clp"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH460"
"NCIH460_LUNG"	"NCI-H460"	"905943"	"gdsc"	"lung"	"lung_NSCLC_large_cell"	NA	"NCIH460"
"NCIH460_LUNG"	"NCI-H460"	NA	"eurofins"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH460"
"NCIH510_LUNG"	"NCIH510_LUNG"	"NCI-H510"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH510"
"NCIH510A_LUNG"	"NCI-H510A"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH510A"
"NCIH510A_LUNG"	"NCI-H510A"	"753605"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH510A"
"NCIH520_LUNG"	"NCIH520_LUNG"	"NCI-H520"	"CCLE"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"NCIH520"
"NCIH520_LUNG"	"NCI-H520"	NA	"cosmic_clp"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"NCIH520"
"NCIH520_LUNG"	"NCI-H520"	"908443"	"gdsc"	"lung"	"lung_NSCLC_squamous_cell_carcinoma"	NA	"NCIH520"
"NCIH520_LUNG"	"NCI-H520"	NA	"eurofins"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"NCIH520"
"NCIH522_LUNG"	"NCIH522_LUNG"	"NCI-H522"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH522"
"NCIH522_LUNG"	"NCI-H522"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH522"
"NCIH522_LUNG"	"NCI-H522"	"905944"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH522"
"NCIH524_LUNG"	"NCIH524_LUNG"	"NCI-H524"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH524"
"NCIH524_LUNG"	"NCI-H524"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH524"
"NCIH524_LUNG"	"NCI-H524"	"908483"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH524"
"NCIH526_LUNG"	"NCIH526_LUNG"	"NCI-H526"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH526"
"NCIH526_LUNG"	"NCI-H526"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH526"
"NCIH526_LUNG"	"NCI-H526"	"688025"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH526"
"NCIH596_LUNG"	"NCIH596_LUNG"	"NCI-H596"	"CCLE"	"lung"	"carcinoma"	"mixed_adenosquamous_carcinoma"	"NCIH596"
"NCIH596_LUNG"	"NCI-H596"	NA	"cosmic_clp"	"lung"	"carcinoma"	"mixed_adenosquamous_carcinoma"	"NCIH596"
"NCIH596_LUNG"	"NCI-H596"	"908459"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH596"
"NCIH596_LUNG"	"NCI-H596"	NA	"eurofins"	"lung"	"carcinoma"	"mixed_adenosquamous_carcinoma"	"NCIH596"
"NCIH64_LUNG"	"NCI-H64"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH64"
"NCIH64_LUNG"	"NCI-H64"	"688026"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH64"
"NCIH647_LUNG"	"NCIH647_LUNG"	"NCI-H647"	"CCLE"	"lung"	"carcinoma"	"mixed_adenosquamous_carcinoma"	"NCIH647"
"NCIH647_LUNG"	"NCI-H647"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH647"
"NCIH650_LUNG"	"NCIH650_LUNG"	"NCI-H650"	"CCLE"	"lung"	"carcinoma"	"bronchioloalveolar_adenocarcinoma"	"NCIH650"
"NCIH650_LUNG"	"NCI-H650"	NA	"cosmic_clp"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH650"
"NCIH650_LUNG"	"NCI-H650"	"722066"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH650"
"NCIH661_LUNG"	"NCIH661_LUNG"	"NCI-H661"	"CCLE"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH661"
"NCIH661_LUNG"	"NCI-H661"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH661"
"NCIH661_LUNG"	"NCI-H661"	"687829"	"gdsc"	"lung"	"lung_NSCLC_large_cell"	NA	"NCIH661"
"NCIH661_LUNG"	"NCI-H661"	NA	"eurofins"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH661"
"NCIH69_LUNG"	"NCIH69_LUNG"	"NCI-H69"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH69"
"NCIH69_LUNG"	"NCI-H69"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH69"
"NCIH69_LUNG"	"NCI-H69"	"688027"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH69"
"NCIH69_LUNG"	"NCI-H69"	NA	"eurofins"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH69"
"NCIH719_LUNG"	"NCI-H719"	"924242"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH719"
"NCIH720_LUNG"	"NCI-H720"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"NCIH720"
"NCIH720_LUNG"	"NCI-H720"	"687600"	"gdsc"	"lung"	"lung_NSCLC_carcinoid"	NA	"NCIH720"
"NCIH727_LUNG"	"NCIH727_LUNG"	"NCI-H727"	"CCLE"	"lung"	"carcinoid-endocrine_tumour"	"NS"	"NCIH727"
"NCIH727_LUNG"	"NCI-H727"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"NCIH727"
"NCIH727_LUNG"	"NCI-H727"	"724855"	"gdsc"	"lung"	"lung_NSCLC_carcinoid"	NA	"NCIH727"
"NCIH740_LUNG"	"NCI-H740"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH740"
"NCIH748_LUNG"	"NCI-H748"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH748"
"NCIH748_LUNG"	"NCI-H748"	"909194"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH748"
"NCIH810_LUNG"	"NCIH810_LUNG"	"NCI-H810"	"CCLE"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH810"
"NCIH810_LUNG"	"NCI-H810"	NA	"cosmic_clp"	"lung"	"carcinoma"	"large_cell_carcinoma"	"NCIH810"
"NCIH810_LUNG"	"NCI-H810"	"925341"	"gdsc"	"lung"	"lung_NSCLC_large_cell"	NA	"NCIH810"
"NCIH82_LUNG"	"NCIH82_LUNG"	"NCI-H82"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH82"
"NCIH82_LUNG"	"NCI-H82"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH82"
"NCIH82_LUNG"	"NCI-H82"	"688031"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH82"
"NCIH820_LUNG"	"NCI-H820"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH820"
"NCIH835_LUNG"	"NCI-H835"	NA	"cosmic_clp"	"lung"	"carcinoid-endocrine_tumour"	"NS"	"NCIH835"
"NCIH838_LUNG"	"NCIH838_LUNG"	"NCI-H838"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH838"
"NCIH838_LUNG"	"NCI-H838"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH838"
"NCIH838_LUNG"	"NCI-H838"	"910399"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH838"
"NCIH841_LUNG"	"NCIH841_LUNG"	"NCI-H841"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH841"
"NCIH841_LUNG"	"NCI-H841"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH841"
"NCIH847_LUNG"	"NCI-H847"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH847"
"NCIH854_LUNG"	"NCIH854_LUNG"	"NCI-H854"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH854"
"NCIH889_LUNG"	"NCIH889_LUNG"	"NCI-H889"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH889"
"OCUBM_BREAST"	"OCUB-M"	NA	"cosmic_clp"	"breast"	"carcinoma"	"NS"	"OCUBM"
"OCUBM_BREAST"	"OCUB-M"	"909256"	"gdsc"	"breast"	"breast"	NA	"OCUBM"
"PC14_LUNG"	"PC14_LUNG"	"PC-14"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"PC14"
"PC14_LUNG"	"PC-14"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"PC14"
"PC14_LUNG"	"PC-14"	"753608"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"PC14"
"PC3JPC3_LUNG"	"PC-3_[JPC-3]"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"PC3JPC3"
"RERFLCAD1_LUNG"	"RERFLCAD1_LUNG"	"RERF-LC-Ad1"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"RERFLCAD1"
"RERFLCAD2_LUNG"	"RERFLCAD2_LUNG"	"RERF-LC-Ad2"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"RERFLCAD2"
"RERFLCAI_LUNG"	"RERFLCAI_LUNG"	"RERF-LC-AI"	"CCLE"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"RERFLCAI"
"RERFLCFM_LUNG"	"RERF-LC-FM"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"RERFLCFM"
"RERFLCKJ_LUNG"	"RERFLCKJ_LUNG"	"RERF-LC-KJ"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"RERFLCKJ"
"RERFLCKJ_LUNG"	"RERF-LC-KJ"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"RERFLCKJ"
"RERFLCMS_LUNG"	"RERFLCMS_LUNG"	"RERF-LC-MS"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"RERFLCMS"
"RERFLCMS_LUNG"	"RERF-LC-MS"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"RERFLCMS"
"RERFLCMS_LUNG"	"RERF-LC-MS"	"910931"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"RERFLCMS"
